Mp (Mj), Rp (Rj), Mdots (g/s), Rsp (Rp), RXUV (Rp), cond
1.22255e+30,9.08884e+09,5.09e+11,0.30,2.74,1.42,0
1.90770e+30,1.11298e+10,4.28e+11,0.30,3.11,1.42,0
3.97771e+29,1.26606e+10,4.38e+12,0.33,2.27,1.42,0
1.29118e+30,9.59910e+09,5.63e+11,0.30,2.68,1.42,0
3.93862e+29,3.73121e+09,9.18e+10,0.38,3.17,1.10,0
1.68905e+30,9.85422e+09,3.33e+11,0.30,3.32,1.42,0
4.66013e+29,1.16401e+10,2.97e+12,0.32,1.93,1.29,0
1.81351e+29,5.77221e+09,1.12e+12,0.33,2.30,1.40,0
1.20502e+30,5.51709e+09,3.95e+10,0.30,5.97,1.42,0
2.59208e+29,2.45558e+09,4.35e+10,0.38,3.62,1.10,0
1.69808e+29,4.24146e+09,5.49e+11,0.33,2.08,1.29,0
1.17559e+30,1.41914e+10,2.19e+12,0.36,1.88,1.11,0
2.59144e+29,3.98634e+09,3.09e+11,0.36,2.08,1.16,0
1.93034e+29,1.43508e+09,1.80e+10,0.30,5.78,1.42,0
4.78160e+29,5.77221e+09,4.83e+11,0.36,2.11,1.12,0
2.31949e+30,1.06196e+10,1.72e+11,0.30,3.93,1.42,0
4.58167e+29,7.04784e+09,7.88e+11,0.35,1.98,1.15,0
6.97953e+29,1.36811e+10,3.24e+12,0.32,1.79,1.21,0
5.37511e+29,1.34260e+10,3.85e+12,0.32,1.93,1.30,0
2.76527e+30,1.26606e+10,2.59e+11,0.30,3.52,1.42,0
1.12057e+30,6.53759e+09,1.46e+11,0.30,4.15,1.42,0
1.30951e+30,1.24055e+10,7.72e+11,0.37,2.18,1.09,0
1.59594e+29,3.98634e+09,4.96e+11,0.33,2.10,1.29,0
1.12099e+30,1.06196e+10,5.78e+11,0.37,2.29,1.09,0
5.62697e+29,6.79272e+09,6.38e+11,0.36,2.07,1.12,0
4.76227e+29,1.18952e+10,3.09e+12,0.32,1.93,1.29,0
1.48364e+30,6.79272e+09,6.24e+10,0.30,5.23,1.42,0
9.77455e+28,1.17996e+09,3.51e+10,0.34,2.49,1.12,0
4.35892e+29,5.26196e+09,4.20e+11,0.38,2.13,1.12,0
6.39157e+29,4.75171e+09,1.58e+11,0.30,3.52,1.42,0
1.18823e+30,8.83372e+09,4.83e+11,0.30,2.77,1.42,0
2.36671e+29,9.59910e+09,4.03e+12,0.33,2.97,1.65,0
4.96655e+29,1.24055e+10,3.32e+12,0.32,1.93,1.29,0
2.90925e+28,1.17996e+09,1.26e+11,0.33,3.26,1.64,0
2.03889e+30,1.18952e+10,4.91e+11,0.30,3.00,1.42,0
5.52085e+29,3.22096e+09,3.64e+10,0.30,6.19,1.42,0
4.79633e+28,1.94533e+09,2.81e+11,0.33,3.17,1.64,0
1.97382e+29,6.28246e+09,1.28e+12,0.33,2.30,1.40,0
8.70032e+28,4.49659e+09,1.70e+12,0.33,3.92,2.02,0
8.56213e+29,1.31709e+10,2.57e+12,0.32,1.80,1.15,0
3.33437e+29,1.94533e+09,1.34e+10,0.30,8.32,1.42,0
6.23214e+28,3.22096e+09,9.79e+11,0.33,3.98,2.02,0
7.23984e+29,1.41914e+10,3.46e+12,0.32,1.79,1.21,0
5.28752e+29,1.03645e+10,2.00e+12,0.32,1.82,1.20,0
1.73731e+30,1.29157e+10,9.77e+11,0.30,2.39,1.42,0
2.77538e+29,8.83372e+09,2.26e+12,0.33,2.24,1.40,0
3.04389e+30,1.39362e+10,3.27e+11,0.30,3.31,1.42,0
2.04087e+30,9.34397e+09,1.28e+11,0.30,4.26,1.42,0
4.74654e+29,4.49659e+09,1.28e+11,0.38,2.99,1.10,0
1.44416e+30,1.36811e+10,9.28e+11,0.37,2.11,1.09,0
2.21429e+29,7.04784e+09,1.56e+12,0.33,2.28,1.41,0
2.38872e+30,1.39362e+10,6.85e+11,0.30,2.76,1.42,0
1.53140e+30,1.13850e+10,7.71e+11,0.30,2.51,1.42,0
