#Planet: 0.8000 Mjup, 1.5000 Rjup, 0.050 au 
#Star: 1.000 Msun, 1.778 Lsun 
#Spectrum: 1096 ergs/s/cm2, scaled-solar, [0.600,91.200] nm
#Tutorial example planet w/ 10xZ_solar H,He,C,O. Scaled solar spectrum.
r,r/Rp,v,T,rho,heat_ion
11711346152.3,1.092,2.75083e+02,2.14861e+03,8.93977e-14,6.93778e-08
11714336023.9,1.092,2.83900e+02,2.18534e+03,8.65770e-14,6.97115e-08
11717325895.4,1.093,2.92876e+02,2.22233e+03,8.38808e-14,7.00181e-08
11720315766.9,1.093,3.02008e+02,2.25957e+03,8.13028e-14,7.02988e-08
11723305638.5,1.093,3.11295e+02,2.29703e+03,7.88371e-14,7.05547e-08
11726295510.0,1.093,3.20734e+02,2.33469e+03,7.64779e-14,7.07870e-08
11729285381.5,1.094,3.30324e+02,2.37254e+03,7.42198e-14,7.09968e-08
11732275253.1,1.094,3.40061e+02,2.41057e+03,7.20579e-14,7.11852e-08
11735265124.6,1.094,3.49945e+02,2.44876e+03,6.99870e-14,7.13530e-08
11738254996.1,1.095,3.59972e+02,2.48709e+03,6.80028e-14,7.15014e-08
11741244867.7,1.095,3.70141e+02,2.52555e+03,6.61009e-14,7.16313e-08
11744234739.2,1.095,3.80450e+02,2.56413e+03,6.42770e-14,7.17436e-08
11747224610.7,1.095,3.90896e+02,2.60281e+03,6.25274e-14,7.18391e-08
11750214482.3,1.096,4.01479e+02,2.64159e+03,6.08483e-14,7.19188e-08
11753204353.8,1.096,4.12195e+02,2.68045e+03,5.92363e-14,7.19833e-08
11756194225.3,1.096,4.23042e+02,2.71938e+03,5.76880e-14,7.20336e-08
11759184096.9,1.097,4.34020e+02,2.75837e+03,5.62003e-14,7.20703e-08
11762173968.4,1.097,4.45125e+02,2.79741e+03,5.47703e-14,7.20941e-08
11765163839.9,1.097,4.56356e+02,2.83649e+03,5.33952e-14,7.21058e-08
11768153711.5,1.097,4.67712e+02,2.87560e+03,5.20723e-14,7.21059e-08
