Mp (Mj), Rp (Rj), Mdots (g/s), Rsp (Rp), RXUV (Rp), cond
1.86349e+29,7.55809e+09,3.44e+11,0.29,3.67,2.01,0
9.85380e+29,1.18952e+10,6.62e+10,0.36,2.79,1.13,0
3.97771e+29,1.26606e+10,6.00e+11,0.29,2.79,1.70,0
2.41306e+29,6.02734e+09,5.16e+10,0.35,3.34,1.36,0
1.90236e+29,4.75171e+09,3.32e+10,0.35,3.65,1.37,0
1.42317e+29,5.77221e+09,1.65e+11,0.30,3.82,1.90,0
1.20502e+30,5.51709e+09,2.79e+08,0.34,7.33,1.10,0
4.66013e+29,1.16401e+10,1.88e+11,0.34,2.58,1.37,0
9.48011e+29,7.04784e+09,6.54e+09,0.34,4.78,1.10,0
1.48608e+29,6.02734e+09,1.86e+11,0.30,3.80,1.92,0
9.21978e+29,1.11298e+10,5.74e+10,0.37,2.89,1.13,0
7.17031e+29,6.79272e+09,1.44e+10,0.37,4.23,1.10,0
1.15445e+30,1.39362e+10,9.29e+10,0.36,2.57,1.14,0
7.73287e+29,1.18952e+10,9.57e+10,0.36,2.65,1.20,0
2.55428e+29,5.00684e+09,2.34e+10,0.36,3.69,1.25,0
3.20505e+29,6.28246e+09,3.74e+10,0.36,3.35,1.26,0
2.61507e+29,8.32347e+09,1.60e+11,0.33,3.00,1.55,0
3.08900e+29,4.75171e+09,1.47e+10,0.37,4.09,1.19,0
3.64620e+29,2.71071e+09,7.81e+08,0.34,8.77,1.10,0
4.04729e+29,1.01093e+10,1.49e+11,0.34,2.77,1.38,0
7.06946e+29,1.08747e+10,7.86e+10,0.36,2.75,1.19,0
8.16307e+29,9.85422e+09,4.59e+10,0.37,3.07,1.14,0
6.40605e+29,9.85422e+09,6.31e+10,0.36,2.87,1.19,0
1.10866e+29,4.49659e+09,9.23e+10,0.33,4.03,1.87,0
1.19672e+30,1.44465e+10,1.00e+11,0.36,2.53,1.14,0
3.27033e+28,1.69021e+09,4.28e+10,0.32,6.59,2.69,0
1.76225e+30,8.06834e+09,7.67e+08,0.34,5.66,1.10,0
2.94474e+29,5.77221e+09,3.15e+10,0.36,3.48,1.26,0
1.25176e+30,7.30297e+09,2.41e+09,0.34,5.35,1.10,0
7.97823e+29,7.55809e+09,1.81e+10,0.37,3.97,1.10,0
1.73336e+29,5.51709e+09,6.71e+10,0.35,3.48,1.52,0
7.89872e+29,1.21504e+10,9.85e+10,0.36,2.62,1.19,0
5.41767e+29,1.06196e+10,1.05e+11,0.36,2.70,1.26,0
5.57939e+29,1.39362e+10,2.94e+11,0.33,2.39,1.39,0
1.11219e+30,1.34260e+10,8.57e+10,0.36,2.62,1.14,0
2.28306e+28,1.17996e+09,2.25e+10,0.29,7.30,2.68,0
1.77651e+30,1.03645e+10,6.15e+09,0.34,4.24,1.10,0
4.75124e+28,2.45558e+09,8.28e+10,0.31,5.74,2.68,0
2.54238e+30,1.16401e+10,2.24e+09,0.34,4.42,1.10,0
3.41662e+29,1.08747e+10,3.29e+11,0.30,2.83,1.60,0
4.08412e+29,6.28246e+09,2.50e+10,0.37,3.56,1.18,0
6.24020e+29,9.59910e+09,5.97e+10,0.36,2.91,1.19,0
1.06992e+30,1.29157e+10,7.89e+10,0.36,2.67,1.13,0
8.51650e+28,2.71071e+09,1.77e+10,0.35,4.40,1.51,0
3.59551e+29,7.04784e+09,4.72e+10,0.36,3.20,1.26,0
1.31647e+30,6.02734e+09,3.51e+08,0.34,6.90,1.10,0
2.92315e+29,4.49659e+09,1.32e+10,0.37,4.21,1.19,0
5.36338e+29,2.45558e+09,3.60e+07,0.34,12.66,1.10,0
1.03785e+30,4.75171e+09,1.91e+08,0.34,8.11,1.10,0
1.63435e+30,1.21504e+10,2.40e+10,0.34,3.37,1.10,0
6.90100e+29,6.53759e+09,1.33e+10,0.37,4.33,1.10,0
3.98937e+29,2.96583e+09,9.47e+08,0.34,8.29,1.10,0
1.92803e+29,2.96583e+09,5.71e+09,0.37,5.21,1.18,0
2.82100e+30,1.29157e+10,3.10e+09,0.34,4.11,1.10,0
1.58717e+29,1.17996e+09,1.45e+08,0.34,14.59,1.10,0
8.39628e+29,1.29157e+10,1.12e+11,0.36,2.55,1.20,0
2.93244e+30,1.34260e+10,3.52e+09,0.34,4.01,1.10,0
1.87370e+30,8.57859e+09,9.10e+08,0.34,5.43,1.10,0
3.13070e+29,2.96583e+09,2.61e+09,0.37,6.93,1.10,0
1.11960e+30,8.32347e+09,9.65e+09,0.34,4.30,1.10,0
1.70653e+30,7.81322e+09,7.02e+08,0.34,5.79,1.10,0
1.47040e+30,8.57859e+09,3.68e+09,0.34,4.81,1.10,0
7.10968e+29,1.39362e+10,1.91e+11,0.35,2.42,1.27,0
5.57679e+29,8.57859e+09,4.73e+10,0.36,3.06,1.18,0
9.05969e+29,1.39362e+10,1.32e+11,0.36,2.47,1.20,0
2.81459e+29,5.51709e+09,2.84e+10,0.36,3.54,1.25,0
1.81798e+30,8.32347e+09,8.36e+08,0.34,5.55,1.10,0
3.77167e+29,2.20046e+09,1.37e+08,0.34,11.89,1.10,0
8.80957e+28,2.20046e+09,7.51e+09,0.36,4.89,1.36,0
1.51485e+29,1.43508e+09,5.75e+08,0.37,10.59,1.10,0
5.06869e+29,1.26606e+10,2.33e+11,0.33,2.49,1.39,0
2.24550e+29,2.71071e+09,3.38e+09,0.37,6.26,1.14,0
2.09389e+29,3.22096e+09,6.73e+09,0.37,4.99,1.18,0
1.54898e+29,6.28246e+09,2.08e+11,0.30,3.79,1.94,0
3.53659e+29,8.83372e+09,1.11e+11,0.35,2.90,1.37,0
5.24508e+29,8.06834e+09,4.17e+10,0.36,3.15,1.18,0
2.61734e+29,6.53759e+09,6.08e+10,0.35,3.24,1.37,0
2.31949e+30,1.06196e+10,1.69e+09,0.34,4.70,1.10,0
6.97953e+29,1.36811e+10,1.82e+11,0.35,2.44,1.27,0
2.76527e+30,1.26606e+10,2.91e+09,0.34,4.17,1.10,0
5.01888e+29,3.73121e+09,1.56e+09,0.34,7.17,1.10,0
1.12057e+30,6.53759e+09,1.82e+09,0.34,5.76,1.10,0
1.30951e+30,1.24055e+10,5.30e+10,0.37,2.96,1.11,0
1.12099e+30,1.06196e+10,3.78e+10,0.37,3.24,1.10,0
1.48364e+30,6.79272e+09,4.81e+08,0.34,6.37,1.10,0
3.81740e+29,1.21504e+10,4.96e+11,0.29,2.81,1.66,0
2.21381e+30,1.29157e+10,1.14e+10,0.34,3.66,1.10,0
3.12803e+29,7.81322e+09,8.82e+10,0.35,3.05,1.38,0
9.43112e+29,1.13850e+10,6.03e+10,0.37,2.85,1.13,0
2.15232e+30,9.85422e+09,1.36e+09,0.34,4.95,1.10,0
8.70678e+29,3.98634e+09,1.22e+08,0.34,9.13,1.10,0
8.24754e+29,7.81322e+09,1.95e+10,0.37,3.89,1.10,0
1.90770e+30,1.11298e+10,7.49e+09,0.34,4.04,1.10,0
1.14930e+30,5.26196e+09,2.47e+08,0.34,7.57,1.10,0
1.22255e+30,9.08884e+09,1.19e+10,0.34,4.06,1.10,0
1.03311e+30,6.02734e+09,1.48e+09,0.34,6.08,1.10,0
4.16730e+28,1.69021e+09,1.50e+10,0.34,5.39,1.83,0
5.24487e+28,2.71071e+09,1.05e+11,0.29,6.04,2.69,0
1.29118e+30,9.59910e+09,1.35e+10,0.34,3.92,1.10,0
3.09600e+29,9.85422e+09,2.61e+11,0.30,2.91,1.59,0
5.47725e+29,1.36811e+10,2.87e+11,0.33,2.41,1.40,0
8.20668e+28,4.24146e+09,3.65e+11,0.28,5.94,3.07,0
8.14955e+29,3.73121e+09,1.04e+08,0.34,9.54,1.10,0
1.68905e+30,9.85422e+09,5.35e+09,0.34,4.38,1.10,0
1.07684e+30,6.28246e+09,1.64e+09,0.34,5.92,1.10,0
3.17615e+29,1.01093e+10,2.78e+11,0.30,2.89,1.60,0
4.41582e+29,6.79272e+09,2.93e+10,0.37,3.43,1.18,0
1.17559e+30,1.41914e+10,9.67e+10,0.36,2.55,1.14,0
7.70892e+29,7.30297e+09,1.68e+10,0.37,4.05,1.10,0
2.31092e+29,5.77221e+09,4.72e+10,0.35,3.39,1.36,0
1.98930e+29,8.06834e+09,4.56e+11,0.29,3.68,2.09,0
1.17156e+29,4.75171e+09,1.04e+11,0.32,3.95,1.89,0
8.56213e+29,1.31709e+10,1.17e+11,0.36,2.53,1.20,0
2.66819e+29,3.22096e+09,4.79e+09,0.37,5.68,1.14,0
1.57305e+29,5.00684e+09,5.54e+10,0.35,3.59,1.51,0
7.23984e+29,1.41914e+10,1.99e+11,0.35,2.41,1.28,0
1.73731e+30,1.29157e+10,2.79e+10,0.34,3.25,1.10,0
2.04087e+30,9.34397e+09,1.16e+09,0.34,5.13,1.10,0
6.89928e+29,1.94533e+09,1.51e+04,0.34,18.28,1.10,0
3.04389e+30,1.39362e+10,3.97e+09,0.34,3.91,1.10,0
1.44416e+30,1.36811e+10,6.58e+10,0.37,2.80,1.11,0
2.53491e+29,8.06834e+09,1.48e+11,0.33,3.04,1.55,0
2.38872e+30,1.39362e+10,1.42e+10,0.34,3.48,1.10,0
1.53140e+30,1.13850e+10,2.05e+10,0.34,3.52,1.10,0
9.89380e+29,5.77221e+09,1.33e+09,0.34,6.26,1.10,0
2.51520e+29,6.28246e+09,5.61e+10,0.35,3.29,1.37,0
7.36999e+29,1.44465e+10,1.96e+11,0.35,2.37,1.27,0
1.73769e+29,7.04784e+09,2.76e+11,0.29,3.70,1.96,0
7.42109e+29,5.51709e+09,3.73e+09,0.34,5.59,1.10,0
1.18823e+30,8.83372e+09,1.11e+10,0.34,4.14,1.10,0
2.32278e+29,2.20046e+09,1.40e+09,0.37,8.27,1.10,0
2.25974e+29,3.47608e+09,7.85e+09,0.36,4.80,1.18,0
1.26462e+29,1.94533e+09,2.54e+09,0.37,6.46,1.19,0
7.03508e+29,3.22096e+09,7.17e+07,0.34,10.54,1.10,0
2.89708e+29,1.69021e+09,7.44e+07,0.34,14.16,1.10,0
3.72490e+29,4.49659e+09,9.12e+09,0.37,4.72,1.13,0
1.26074e+30,5.77221e+09,3.13e+08,0.34,7.11,1.10,0
3.93624e+29,4.75171e+09,1.02e+10,0.37,4.58,1.13,0
2.03889e+30,1.18952e+10,9.03e+09,0.34,3.87,1.10,0
6.76677e+28,1.69021e+09,4.64e+09,0.36,5.45,1.37,0
1.05096e+30,7.81322e+09,8.32e+09,0.34,4.48,1.10,0
1.77162e+30,1.31709e+10,2.93e+10,0.34,3.21,1.10,0
4.14758e+29,5.00684e+09,1.14e+10,0.37,4.45,1.13,0
7.59231e+29,3.47608e+09,8.68e+07,0.34,10.01,1.10,0
1.77335e+29,3.47608e+09,1.17e+10,0.36,4.34,1.26,0
3.51355e+29,4.24146e+09,8.10e+09,0.37,4.88,1.13,0
7.94146e+28,3.22096e+09,4.79e+10,0.34,4.50,1.84,0
1.53936e+30,7.04784e+09,5.30e+08,0.34,6.21,1.10,0
6.47234e+29,7.81322e+09,2.83e+10,0.37,3.48,1.14,0
5.02721e+29,9.85422e+09,8.92e+10,0.36,2.78,1.26,0
6.07434e+29,9.34397e+09,5.65e+10,0.36,2.94,1.19,0
6.73775e+29,1.03645e+10,7.10e+10,0.36,2.81,1.19,0
5.68153e+29,1.41914e+10,3.02e+11,0.33,2.37,1.39,0
5.07923e+29,7.81322e+09,3.90e+10,0.36,3.20,1.18,0
4.47723e+29,4.24146e+09,5.52e+09,0.37,5.60,1.11,0
7.52904e+29,9.08884e+09,3.88e+10,0.37,3.20,1.14,0
1.20178e+30,1.13850e+10,4.40e+10,0.37,3.11,1.10,0
2.45476e+29,7.81322e+09,1.36e+11,0.33,3.07,1.54,0
7.27003e+29,4.24146e+09,6.28e+08,0.34,7.69,1.10,0
9.19952e+28,3.73121e+09,6.49e+10,0.33,4.31,1.87,0
7.07791e+29,5.26196e+09,3.35e+09,0.34,5.76,1.10,0
3.25485e+29,5.00684e+09,1.63e+10,0.37,3.98,1.19,0
4.24997e+29,6.53759e+09,2.71e+10,0.37,3.49,1.18,0
2.25754e+30,1.31709e+10,1.21e+10,0.34,3.61,1.10,0
5.92061e+29,2.71071e+09,4.63e+07,0.34,11.84,1.10,0
8.10743e+29,6.02734e+09,4.56e+09,0.34,5.28,1.10,0
1.36027e+29,5.51709e+09,1.42e+11,0.32,3.71,1.89,0
1.29549e+30,7.55809e+09,2.64e+09,0.34,5.23,1.10,0
1.82282e+29,2.20046e+09,2.22e+09,0.37,7.03,1.14,0
1.52495e+30,1.44465e+10,7.41e+10,0.37,2.71,1.11,0
9.32920e+28,1.43508e+09,1.38e+09,0.35,7.53,1.18,0
3.25631e+29,1.03645e+10,3.04e+11,0.30,2.89,1.61,0
1.02765e+30,1.24055e+10,7.24e+10,0.36,2.73,1.13,0
5.28516e+29,5.00684e+09,7.53e+09,0.37,5.09,1.10,0
6.39544e+29,3.73121e+09,4.64e+08,0.34,8.37,1.10,0
1.12258e+29,2.20046e+09,4.73e+09,0.36,5.35,1.25,0
2.87672e+30,1.31709e+10,3.31e+09,0.34,4.06,1.10,0
5.83831e+29,7.04784e+09,2.29e+10,0.37,3.68,1.14,0
1.09406e+30,1.03645e+10,3.58e+10,0.37,3.29,1.10,0
1.99516e+30,1.16401e+10,8.50e+09,0.34,3.92,1.10,0
1.38289e+29,2.71071e+09,7.16e+09,0.36,4.86,1.25,0
2.90925e+28,1.17996e+09,8.02e+09,0.30,5.97,1.84,0
8.37441e+29,1.01093e+10,4.69e+10,0.37,3.03,1.13,0
3.33231e+29,8.32347e+09,1.01e+11,0.35,2.98,1.38,0
2.85553e+29,9.08884e+09,1.99e+11,0.32,2.90,1.57,0
2.93569e+29,9.34397e+09,2.15e+11,0.32,2.86,1.58,0
7.43961e+29,7.04784e+09,1.56e+10,0.37,4.14,1.10,0
1.65081e+30,7.55809e+09,6.41e+08,0.34,5.92,1.10,0
